ID,Date,City,Area,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude
PK-2026000,11/17/2022 02:30:00 PM,Lahore,Gulberg,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2022,31.509972,74.374592
PK-2026001,08/11/2021 08:40:00 AM,Quetta,Cantt,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2021,30.153231,66.91795
PK-2026002,07/29/2023 07:00:00 PM,Peshawar,Saddar,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,2023,33.976341,71.467555
PK-2026003,11/29/2025 09:05:00 PM,Rawalpindi,Chaklala,BATTERY,SIMPLE,POLICE FACILITY/VEH PARKING LOT,True,False,2025,33.515744,72.995733
PK-2026004,03/19/2020 10:00:00 AM,Karachi,North Nazimabad,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,2020,24.815176,66.999737
PK-2026005,08/31/2020 12:00:00 PM,Karachi,Clifton,ASSAULT,SIMPLE,STREET,False,True,2020,24.855993,67.033549
PK-2026006,02/07/2024 01:30:00 AM,Karachi,Gulshan-e-Iqbal,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,True,True,2024,24.82546,67.023095
PK-2026007,10/16/2020 06:00:00 AM,Multan,Model Town,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2020,30.141212,71.518408
PK-2026008,09/06/2022 08:47:53 PM,Rawalpindi,Satellite Town,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,2022,33.56551,72.989735
PK-2026009,08/18/2024 05:46:34 AM,Peshawar,Ring Road,BURGLARY,HOME INVASION,RESIDENCE,False,False,2024,34.037947,71.584555
PK-2026010,11/26/2020 11:00:00 AM,Karachi,Saddar,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2020,24.805417,66.992242
PK-2026011,10/11/2024 06:30:00 AM,Quetta,Cantt,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2024,30.215729,66.969166
PK-2026012,02/20/2021 08:20:00 AM,Faisalabad,Madina Town,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2021,31.465748,73.094635
PK-2026013,02/15/2020 01:49:09 AM,Karachi,North Nazimabad,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2020,24.810511,67.036477
PK-2026014,01/15/2020 04:15:22 PM,Karachi,North Nazimabad,THEFT,OVER $500,DRUG STORE,False,False,2020,24.905529,67.024342
PK-2026015,06/21/2023 03:00:00 PM,Karachi,Liaquatabad,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,False,False,2023,24.911205,66.967592
PK-2026016,12/03/2023 08:15:00 PM,Lahore,Faisal Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2023,31.497029,74.293486
PK-2026017,01/25/2020 10:00:00 PM,Islamabad,F-8,ROBBERY,AGGRAVATED,STREET,False,False,2020,33.657625,73.06956
PK-2026018,11/21/2021 10:56:06 PM,Lahore,Garden Town,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,2021,31.586444,74.362141
PK-2026019,10/09/2020 12:45:00 AM,Lahore,Defence (DHA),ROBBERY,ARMED - HANDGUN,STREET,False,False,2020,31.579491,74.316391
PK-2026020,05/19/2024 11:12:19 PM,Rawalpindi,Peshawar Road,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2024,33.527243,73.071004
PK-2026021,01/15/2023 12:30:00 AM,Karachi,North Nazimabad,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,TAVERN/LIQUOR STORE,True,True,2023,24.825822,66.959227
PK-2026022,11/04/2020 07:11:00 PM,Lahore,Samanabad,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARK PROPERTY,False,False,2020,31.534157,74.33548
PK-2026023,11/09/2024 08:00:00 PM,Lahore,Faisal Town,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2024,31.547843,74.396834
PK-2026024,03/09/2020 04:35:00 PM,Lahore,Iqbal Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2020,31.563891,74.333967
PK-2026025,02/22/2021 06:01:10 PM,Faisalabad,Madina Town,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2021,31.43467,73.151623
PK-2026026,10/17/2025 07:00:00 PM,Karachi,Clifton,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2025,24.856204,66.988811
PK-2026027,08/23/2025 10:20:00 PM,Islamabad,E-11,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,2025,33.714097,73.020806
PK-2026028,01/10/2024 07:32:00 AM,Rawalpindi,Raja Bazaar,BATTERY,SIMPLE,SIDEWALK,False,False,2024,33.509502,73.074977
PK-2026029,03/06/2020 05:45:00 PM,Karachi,Korangi,ASSAULT,SIMPLE,STREET,False,False,2020,24.830992,66.99022
PK-2026030,06/30/2024 04:00:00 PM,Rawalpindi,Committee Chowk,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,2024,33.590702,73.064192
PK-2026031,10/13/2024 08:10:00 PM,Karachi,North Nazimabad,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,2024,24.908125,66.968695
PK-2026032,11/29/2023 07:00:00 PM,Karachi,Malir,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,2023,24.862101,66.966673
PK-2026033,12/28/2020 10:56:29 PM,Quetta,Cantt,BATTERY,SIMPLE,RESIDENCE,False,True,2020,30.183654,66.918736
PK-2026034,12/27/2021 10:00:00 PM,Quetta,Cantt,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,2021,30.132661,66.9932
PK-2026035,08/09/2020 08:30:00 AM,Faisalabad,Jaranwala Road,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2020,31.444089,73.119223
PK-2026036,02/04/2024 12:01:00 AM,Lahore,Gulberg,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,False,False,2024,31.553614,74.387323
PK-2026037,06/16/2021 10:30:00 AM,Karachi,Malir,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,2021,24.829796,66.997885
PK-2026038,08/28/2022 04:47:39 PM,Peshawar,Charsadda Road,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,False,2022,33.987409,71.581083
PK-2026039,04/14/2023 10:00:00 PM,Lahore,Faisal Town,THEFT,FROM BUILDING,APARTMENT,False,False,2023,31.534974,74.305863
PK-2026040,08/16/2021 07:00:00 PM,Karachi,Korangi,BATTERY,SIMPLE,STREET,False,False,2021,24.803109,67.045335
PK-2026041,05/21/2024 08:30:00 AM,Islamabad,F-8,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,False,True,2024,33.663049,73.081092
PK-2026042,01/21/2020 09:52:29 AM,Karachi,Landhi,ASSAULT,SIMPLE,RESIDENCE,False,True,2020,24.826074,67.033611
PK-2026043,10/12/2024 01:20:00 PM,Hyderabad,Latifabad,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,2024,25.3753,68.399174
PK-2026044,07/20/2022 07:40:54 AM,Lahore,Shalimar,NARCOTICS,POSS: HEROIN(WHITE),CHA HALLWAY/STAIRWELL/ELEVATOR,True,False,2022,31.504071,74.374923
PK-2026045,11/26/2024 07:30:00 PM,Rawalpindi,Satellite Town,ASSAULT,SIMPLE,RESIDENCE,False,True,2024,33.611963,73.032046
PK-2026046,10/09/2025 02:15:00 AM,Lahore,Garden Town,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARK PROPERTY,False,False,2025,31.560931,74.299349
PK-2026047,05/23/2021 05:00:00 PM,Islamabad,Blue Area,BATTERY,SIMPLE,APARTMENT,False,True,2021,33.705892,72.991803
PK-2026048,06/13/2020 12:16:35 PM,Islamabad,Sector F-11,THEFT,$500 AND UNDER,SMALL RETAIL STORE,True,False,2020,33.719101,73.098402
PK-2026049,11/12/2024 10:00:00 AM,Karachi,Malir,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2024,24.860513,67.015098
PK-2026050,10/31/2024 05:40:00 PM,Quetta,Satellite Town,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,2024,30.13023,67.010584
PK-2026051,02/19/2025 11:51:00 PM,Faisalabad,D-Ground,BATTERY,SIMPLE,ALLEY,False,False,2025,31.454853,73.132783
PK-2026052,10/01/2021 12:00:00 PM,Hyderabad,Latifabad,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2021,25.406421,68.311877
PK-2026053,01/31/2022 09:35:00 PM,Multan,Cantt,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2022,30.186953,71.479922
PK-2026054,10/12/2020 10:30:59 PM,Rawalpindi,Chaklala,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,2020,33.556899,73.039168
PK-2026055,06/10/2024 07:20:42 PM,Hyderabad,City Area,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,True,False,2024,25.35131,68.349437
PK-2026056,06/18/2025 12:30:00 PM,Karachi,Gulshan-e-Iqbal,THEFT,$500 AND UNDER,STREET,False,False,2025,24.834753,66.965163
